category,backbone,seed,shift,image_auroc,false_alarm,miss_single,miss_three_way,unsure_rate
metal_nut,wrn50,0,clean,0.9995112414467253,0.045454545454545456,0.010752688172043012,0.0,0.08695652173913043
metal_nut,wrn50,0,darker_0.7,0.9980449657869013,0.045454545454545456,0.0,0.0,0.10434782608695652
metal_nut,wrn50,0,brighter_1.3,0.9980449657869013,0.13636363636363635,0.0,0.0,0.11304347826086956
metal_nut,wrn50,0,rotate_5,0.9672531769305962,0.8636363636363636,0.0,0.0,0.02608695652173913
metal_nut,wrn50,0,rotate_15,0.8387096774193548,1.0,0.0,0.0,0.0
metal_nut,wrn50,0,blur_1,0.9926686217008798,0.6363636363636364,0.0,0.0,0.06956521739130435
metal_nut,wrn50,0,blur_2,0.9613880742913001,1.0,0.0,0.0,0.0
metal_nut,wrn50,1,clean,0.9990224828934506,0.09090909090909091,0.0,0.0,0.06956521739130435
metal_nut,wrn50,1,darker_0.7,0.9990224828934506,0.045454545454545456,0.0,0.0,0.08695652173913043
metal_nut,wrn50,1,brighter_1.3,0.9960899315738025,0.22727272727272727,0.0,0.0,0.06956521739130435
metal_nut,wrn50,1,rotate_5,0.9623655913978495,1.0,0.0,0.0,0.0
metal_nut,wrn50,1,rotate_15,0.8074291300097751,1.0,0.0,0.0,0.0
metal_nut,wrn50,1,blur_1,0.9941348973607038,0.7727272727272727,0.0,0.0,0.043478260869565216
metal_nut,wrn50,1,blur_2,0.9560117302052785,1.0,0.0,0.0,0.0
metal_nut,wrn50,2,clean,0.9980449657869013,0.13636363636363635,0.0,0.0,0.09565217391304348
metal_nut,wrn50,2,darker_0.7,0.998533724340176,0.13636363636363635,0.0,0.0,0.09565217391304348
metal_nut,wrn50,2,brighter_1.3,0.9970674486803519,0.5,0.0,0.0,0.05217391304347826
metal_nut,wrn50,2,rotate_5,0.9809384164222874,1.0,0.0,0.0,0.0
metal_nut,wrn50,2,rotate_15,0.7888563049853373,1.0,0.0,0.0,0.0
metal_nut,wrn50,2,blur_1,0.9912023460410557,0.9545454545454546,0.0,0.0,0.008695652173913044
metal_nut,wrn50,2,blur_2,0.9486803519061584,1.0,0.0,0.0,0.0
