category,backbone,seed,shift,image_auroc,false_alarm,miss_single,miss_three_way,unsure_rate
screw,dinov2_s,0,clean,0.8786636605861856,0.024390243902439025,0.5378151260504201,0.1092436974789916,0.39375
screw,dinov2_s,0,darker_0.7,0.8819430211108833,0.07317073170731707,0.44537815126050423,0.06722689075630252,0.34375
screw,dinov2_s,0,brighter_1.3,0.9979503996720639,0.04878048780487805,0.0,0.0,0.06875
screw,dinov2_s,0,rotate_5,0.49005943840951016,1.0,0.0,0.0,0.0
screw,dinov2_s,0,rotate_15,0.5109653617544578,1.0,0.0,0.0,0.0
screw,dinov2_s,0,blur_1,0.7977044476327116,0.14634146341463414,0.40336134453781514,0.058823529411764705,0.41875
screw,dinov2_s,0,blur_2,0.6726788276286124,1.0,0.0,0.0,0.0
screw,dinov2_s,1,clean,0.8917811026849765,0.07317073170731707,0.44537815126050423,0.06722689075630252,0.3625
screw,dinov2_s,1,darker_0.7,0.89198606271777,0.07317073170731707,0.37815126050420167,0.058823529411764705,0.3375
screw,dinov2_s,1,brighter_1.3,0.9995900799344127,0.04878048780487805,0.008403361344537815,0.0,0.125
screw,dinov2_s,1,rotate_5,0.4648493543758967,1.0,0.0,0.0,0.0
screw,dinov2_s,1,rotate_15,0.5011272801803648,1.0,0.0,0.0,0.0
screw,dinov2_s,1,blur_1,0.7901209264193481,0.17073170731707318,0.35294117647058826,0.06722689075630252,0.38125
screw,dinov2_s,1,blur_2,0.6804673088747695,1.0,0.0,0.0,0.0
screw,dinov2_s,2,clean,0.89198606271777,0.024390243902439025,0.5966386554621849,0.13445378151260504,0.39375
screw,dinov2_s,2,darker_0.7,0.8887067021930722,0.07317073170731707,0.5210084033613446,0.1092436974789916,0.3625
screw,dinov2_s,2,brighter_1.3,0.9995900799344127,0.04878048780487805,0.008403361344537815,0.0,0.04375
screw,dinov2_s,2,rotate_5,0.4832957573273212,1.0,0.0,0.0,0.0
screw,dinov2_s,2,rotate_15,0.49948759991801595,1.0,0.0,0.0,0.0
screw,dinov2_s,2,blur_1,0.8085673293707727,0.0975609756097561,0.453781512605042,0.08403361344537816,0.40625
screw,dinov2_s,2,blur_2,0.6956343513014961,1.0,0.0,0.0,0.0
