category,backbone,alpha_ok,n_seeds,false_alarm_mean,false_alarm_std,miss_mean,miss_std,unsure_mean,unsure_std
bottle,dinov2_s,0.05,5,0.08,0.027386127875258303,0.0,0.0,0.0,0.0
bottle,dinov2_s,0.1,5,0.08,0.027386127875258303,0.0,0.0,0.004819277108433735,0.006599066957893568
bottle,dinov2_s,0.15,5,0.08,0.027386127875258303,0.0,0.0,0.016867469879518072,0.006599066957893568
bottle,dinov2_s,0.2,5,0.08,0.027386127875258303,0.0,0.0,0.016867469879518072,0.006599066957893568
bottle,dinov2_s,0.25,5,0.08,0.027386127875258303,0.0,0.0,0.016867469879518072,0.006599066957893568
bottle,dinov2_s,0.3,5,0.08,0.027386127875258303,0.0,0.0,0.021686746987951807,0.015708921458319636
bottle,dinov2_s,0.35,5,0.08,0.027386127875258303,0.0,0.0,0.03614457831325301,0.035126216234007836
bottle,dinov2_s,0.4,5,0.08,0.027386127875258303,0.0,0.0,0.06746987951807229,0.044757049689172795
bottle,dinov2_s,0.45,5,0.08,0.027386127875258303,0.0,0.0,0.09397590361445783,0.02876466599111644
bottle,dinov2_s,0.5,5,0.08,0.027386127875258303,0.0,0.0,0.10843373493975902,0.030716985021643287
bottle,dinov2_s,0.55,5,0.08,0.027386127875258303,0.0,0.0,0.11325301204819276,0.03364877118980468
bottle,dinov2_s,0.6,5,0.08,0.027386127875258303,0.0,0.0,0.12289156626506023,0.02155246243373291
bottle,wrn50,0.05,5,0.030000000000000006,0.027386127875258306,0.0,0.0,0.0,0.0
bottle,wrn50,0.1,5,0.030000000000000006,0.027386127875258306,0.0,0.0,0.021686746987951807,0.017870357800230514
bottle,wrn50,0.15,5,0.030000000000000006,0.027386127875258306,0.0,0.0,0.03132530120481928,0.016164346825299686
bottle,wrn50,0.2,5,0.030000000000000006,0.027386127875258306,0.0,0.0,0.043373493975903614,0.006599066957893571
bottle,wrn50,0.25,5,0.030000000000000006,0.027386127875258306,0.0,0.0,0.045783132530120486,0.01008024128354308
bottle,wrn50,0.3,5,0.030000000000000006,0.027386127875258306,0.0,0.0,0.06024096385542168,0.012048192771084335
bottle,wrn50,0.35,5,0.030000000000000006,0.027386127875258306,0.0,0.0,0.09156626506024096,0.03255242430387059
bottle,wrn50,0.4,5,0.030000000000000006,0.027386127875258306,0.0,0.0,0.10602409638554215,0.037523883138307075
bottle,wrn50,0.45,5,0.030000000000000006,0.027386127875258306,0.0,0.0,0.12048192771084336,0.02825551662544235
bottle,wrn50,0.5,5,0.030000000000000006,0.027386127875258306,0.0,0.0,0.12530120481927712,0.030240723850629238
bottle,wrn50,0.55,5,0.030000000000000006,0.027386127875258306,0.0,0.0,0.13975903614457832,0.03471050672503116
bottle,wrn50,0.6,5,0.030000000000000006,0.027386127875258306,0.0,0.0,0.14698795180722893,0.03654397804362194
metal_nut,dinov2_s,0.05,5,0.1,0.06741998624632421,0.025806451612903226,0.012259950807517614,0.0,0.0
metal_nut,dinov2_s,0.1,5,0.1,0.06741998624632421,0.004301075268817204,0.009617496677418451,0.043478260869565216,0.029488391230979426
metal_nut,dinov2_s,0.15,5,0.1,0.06741998624632421,0.004301075268817204,0.009617496677418451,0.05565217391304348,0.031110510991301424
metal_nut,dinov2_s,0.2,5,0.1,0.06741998624632421,0.0,0.0,0.06956521739130435,0.01944406936956339
