backbone,category,n_fit,seed,alpha_ok,false_alarm_rate,miss_rate,unsure_rate,unsure_rate_good,unsure_rate_defect,accuracy_on_decided
dinov2_s,metal_nut,176,0,0.05,0.18181818181818182,0.021505376344086023,0.0,0.0,0.0,0.9478260869565217
dinov2_s,metal_nut,176,0,0.1,0.18181818181818182,0.021505376344086023,0.008695652173913044,0.045454545454545456,0.0,0.9473684210526315
dinov2_s,metal_nut,176,0,0.15,0.18181818181818182,0.021505376344086023,0.008695652173913044,0.045454545454545456,0.0,0.9473684210526315
dinov2_s,metal_nut,176,0,0.2,0.18181818181818182,0.0,0.043478260869565216,0.13636363636363635,0.021505376344086023,0.9636363636363636
dinov2_s,metal_nut,176,0,0.25,0.18181818181818182,0.0,0.05217391304347826,0.18181818181818182,0.021505376344086023,0.963302752293578
dinov2_s,metal_nut,176,0,0.3,0.18181818181818182,0.0,0.05217391304347826,0.18181818181818182,0.021505376344086023,0.963302752293578
dinov2_s,metal_nut,176,0,0.35,0.18181818181818182,0.0,0.06956521739130435,0.2727272727272727,0.021505376344086023,0.9626168224299065
dinov2_s,metal_nut,176,0,0.4,0.18181818181818182,0.0,0.08695652173913043,0.36363636363636365,0.021505376344086023,0.9619047619047619
dinov2_s,metal_nut,176,0,0.45,0.18181818181818182,0.0,0.08695652173913043,0.36363636363636365,0.021505376344086023,0.9619047619047619
dinov2_s,metal_nut,176,0,0.5,0.18181818181818182,0.0,0.10434782608695652,0.45454545454545453,0.021505376344086023,0.9611650485436893
dinov2_s,metal_nut,176,0,0.55,0.18181818181818182,0.0,0.12173913043478261,0.5454545454545454,0.021505376344086023,0.9603960396039604
dinov2_s,metal_nut,176,0,0.6,0.18181818181818182,0.0,0.1391304347826087,0.6363636363636364,0.021505376344086023,0.9595959595959596
dinov2_s,metal_nut,176,1,0.05,0.0,0.043010752688172046,0.0,0.0,0.0,0.9652173913043478
dinov2_s,metal_nut,176,1,0.1,0.0,0.0,0.08695652173913043,0.2727272727272727,0.043010752688172046,1.0
dinov2_s,metal_nut,176,1,0.15,0.0,0.0,0.09565217391304348,0.3181818181818182,0.043010752688172046,1.0
dinov2_s,metal_nut,176,1,0.2,0.0,0.0,0.09565217391304348,0.3181818181818182,0.043010752688172046,1.0
dinov2_s,metal_nut,176,1,0.25,0.0,0.0,0.09565217391304348,0.3181818181818182,0.043010752688172046,1.0
dinov2_s,metal_nut,176,1,0.3,0.0,0.0,0.10434782608695652,0.36363636363636365,0.043010752688172046,1.0
dinov2_s,metal_nut,176,1,0.35,0.0,0.0,0.11304347826086956,0.4090909090909091,0.043010752688172046,1.0
dinov2_s,metal_nut,176,1,0.4,0.0,0.0,0.12173913043478261,0.45454545454545453,0.043010752688172046,1.0
dinov2_s,metal_nut,176,1,0.45,0.0,0.0,0.12173913043478261,0.45454545454545453,0.043010752688172046,1.0
dinov2_s,metal_nut,176,1,0.5,0.0,0.0,0.12173913043478261,0.45454545454545453,0.043010752688172046,1.0
dinov2_s,metal_nut,176,1,0.55,0.0,0.0,0.16521739130434782,0.6818181818181818,0.043010752688172046,1.0
dinov2_s,metal_nut,176,1,0.6,0.0,0.0,0.16521739130434782,0.6818181818181818,0.043010752688172046,1.0
dinov2_s,metal_nut,176,2,0.05,0.09090909090909091,0.03225806451612903,0.0,0.0,0.0,0.9565217391304348
dinov2_s,metal_nut,176,2,0.1,0.09090909090909091,0.0,0.05217391304347826,0.13636363636363635,0.03225806451612903,0.981651376146789
dinov2_s,metal_nut,176,2,0.15,0.09090909090909091,0.0,0.06086956521739131,0.18181818181818182,0.03225806451612903,0.9814814814814815
dinov2_s,metal_nut,176,2,0.2,0.09090909090909091,0.0,0.0782608695652174,0.2727272727272727,0.03225806451612903,0.9811320754716981
dinov2_s,metal_nut,176,2,0.25,0.09090909090909091,0.0,0.10434782608695652,0.4090909090909091,0.03225806451612903,0.9805825242718447
dinov2_s,metal_nut,176,2,0.3,0.09090909090909091,0.0,0.11304347826086956,0.45454545454545453,0.03225806451612903,0.9803921568627451
dinov2_s,metal_nut,176,2,0.35,0.09090909090909091,0.0,0.11304347826086956,0.45454545454545453,0.03225806451612903,0.9803921568627451
dinov2_s,metal_nut,176,2,0.4,0.09090909090909091,0.0,0.11304347826086956,0.45454545454545453,0.03225806451612903,0.9803921568627451
dinov2_s,metal_nut,176,2,0.45,0.09090909090909091,0.0,0.11304347826086956,0.45454545454545453,0.03225806451612903,0.9803921568627451
dinov2_s,metal_nut,176,2,0.5,0.09090909090909091,0.0,0.12173913043478261,0.5,0.03225806451612903,0.9801980198019802
dinov2_s,metal_nut,176,2,0.55,0.09090909090909091,0.0,0.1391304347826087,0.5909090909090909,0.03225806451612903,0.9797979797979798
dinov2_s,metal_nut,176,2,0.6,0.09090909090909091,0.0,0.1391304347826087,0.5909090909090909,0.03225806451612903,0.9797979797979798
dinov2_s,metal_nut,176,3,0.05,0.09090909090909091,0.010752688172043012,0.0,0.0,0.0,0.9739130434782609
dinov2_s,metal_nut,176,3,0.1,0.09090909090909091,0.0,0.043478260869565216,0.18181818181818182,0.010752688172043012,0.9818181818181818
dinov2_s,metal_nut,176,3,0.15,0.09090909090909091,0.0,0.06086956521739131,0.2727272727272727,0.010752688172043012,0.9814814814814815
dinov2_s,metal_nut,176,3,0.2,0.09090909090909091,0.0,0.06956521739130435,0.3181818181818182,0.010752688172043012,0.9813084112149533
dinov2_s,metal_nut,176,3,0.25,0.09090909090909091,0.0,0.06956521739130435,0.3181818181818182,0.010752688172043012,0.9813084112149533
dinov2_s,metal_nut,176,3,0.3,0.09090909090909091,0.0,0.06956521739130435,0.3181818181818182,0.010752688172043012,0.9813084112149533
dinov2_s,metal_nut,176,3,0.35,0.09090909090909091,0.0,0.06956521739130435,0.3181818181818182,0.010752688172043012,0.9813084112149533
dinov2_s,metal_nut,176,3,0.4,0.09090909090909091,0.0,0.0782608695652174,0.36363636363636365,0.010752688172043012,0.9811320754716981
dinov2_s,metal_nut,176,3,0.45,0.09090909090909091,0.0,0.10434782608695652,0.5,0.010752688172043012,0.9805825242718447
dinov2_s,metal_nut,176,3,0.5,0.09090909090909091,0.0,0.11304347826086956,0.5454545454545454,0.010752688172043012,0.9803921568627451
dinov2_s,metal_nut,176,3,0.55,0.09090909090909091,0.0,0.12173913043478261,0.5909090909090909,0.010752688172043012,0.9801980198019802
dinov2_s,metal_nut,176,3,0.6,0.09090909090909091,0.0,0.16521739130434782,0.8181818181818182,0.010752688172043012,0.9791666666666666
dinov2_s,metal_nut,176,4,0.05,0.13636363636363635,0.021505376344086023,0.0,0.0,0.0,0.9565217391304348
dinov2_s,metal_nut,176,4,0.1,0.13636363636363635,0.0,0.02608695652173913,0.045454545454545456,0.021505376344086023,0.9732142857142857
dinov2_s,metal_nut,176,4,0.15,0.13636363636363635,0.0,0.05217391304347826,0.18181818181818182,0.021505376344086023,0.9724770642201835
dinov2_s,metal_nut,176,4,0.2,0.13636363636363635,0.0,0.06086956521739131,0.22727272727272727,0.021505376344086023,0.9722222222222222
dinov2_s,metal_nut,176,4,0.25,0.13636363636363635,0.0,0.06086956521739131,0.22727272727272727,0.021505376344086023,0.9722222222222222
dinov2_s,metal_nut,176,4,0.3,0.13636363636363635,0.0,0.06086956521739131,0.22727272727272727,0.021505376344086023,0.9722222222222222
dinov2_s,metal_nut,176,4,0.35,0.13636363636363635,0.0,0.06956521739130435,0.2727272727272727,0.021505376344086023,0.9719626168224299
dinov2_s,metal_nut,176,4,0.4,0.13636363636363635,0.0,0.09565217391304348,0.4090909090909091,0.021505376344086023,0.9711538461538461
dinov2_s,metal_nut,176,4,0.45,0.13636363636363635,0.0,0.11304347826086956,0.5,0.021505376344086023,0.9705882352941176
dinov2_s,metal_nut,176,4,0.5,0.13636363636363635,0.0,0.11304347826086956,0.5,0.021505376344086023,0.9705882352941176
