category,backbone,seed,shift,calibration,n_calib,image_auroc,false_alarm,miss_three_way,unsure_rate
bottle,dinov2_s,3,clean,clean_calib,42,1.0,0.05,0.0,0.04819277108433735
bottle,dinov2_s,3,clean,recal_20,20,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,3,clean,recal_all,42,1.0,0.05,0.0,0.04819277108433735
bottle,dinov2_s,3,darker_0.7,clean_calib,42,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,3,darker_0.7,recal_20,20,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,3,darker_0.7,recal_all,42,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,3,brighter_1.3,clean_calib,42,1.0,0.25,0.0,0.14457831325301204
bottle,dinov2_s,3,brighter_1.3,recal_20,20,1.0,0.05,0.0,0.08433734939759036
bottle,dinov2_s,3,brighter_1.3,recal_all,42,1.0,0.0,0.0,0.0963855421686747
bottle,dinov2_s,3,rotate_5,clean_calib,42,0.8634920634920635,1.0,0.0,0.0
bottle,dinov2_s,3,rotate_5,recal_20,20,0.8634920634920635,0.1,0.15873015873015872,0.07228915662650602
bottle,dinov2_s,3,rotate_5,recal_all,42,0.8634920634920635,0.0,0.19047619047619047,0.18072289156626506
bottle,dinov2_s,3,rotate_15,clean_calib,42,0.8380952380952381,1.0,0.0,0.0
bottle,dinov2_s,3,rotate_15,recal_20,20,0.8380952380952381,0.05,0.23809523809523808,0.0963855421686747
bottle,dinov2_s,3,rotate_15,recal_all,42,0.8380952380952381,0.05,0.25396825396825395,0.08433734939759036
bottle,dinov2_s,3,blur_1,clean_calib,42,1.0,0.25,0.0,0.14457831325301204
bottle,dinov2_s,3,blur_1,recal_20,20,1.0,0.05,0.0,0.08433734939759036
bottle,dinov2_s,3,blur_1,recal_all,42,1.0,0.0,0.0,0.0963855421686747
bottle,dinov2_s,3,blur_2,clean_calib,42,0.988095238095238,1.0,0.0,0.0
bottle,dinov2_s,3,blur_2,recal_20,20,0.988095238095238,0.0,0.0,0.20481927710843373
bottle,dinov2_s,3,blur_2,recal_all,42,0.988095238095238,0.0,0.015873015873015872,0.1566265060240964
bottle,dinov2_s,4,clean,clean_calib,42,1.0,0.1,0.0,0.012048192771084338
bottle,dinov2_s,4,clean,recal_20,20,1.0,0.1,0.0,0.03614457831325301
bottle,dinov2_s,4,clean,recal_all,42,1.0,0.1,0.0,0.012048192771084338
bottle,dinov2_s,4,darker_0.7,clean_calib,42,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,4,darker_0.7,recal_20,20,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,4,darker_0.7,recal_all,42,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,4,brighter_1.3,clean_calib,42,1.0,0.35,0.0,0.10843373493975904
bottle,dinov2_s,4,brighter_1.3,recal_20,20,1.0,0.0,0.0,0.03614457831325301
bottle,dinov2_s,4,brighter_1.3,recal_all,42,1.0,0.05,0.0,0.024096385542168676
bottle,dinov2_s,4,rotate_5,clean_calib,42,0.9039682539682539,1.0,0.0,0.0
bottle,dinov2_s,4,rotate_5,recal_20,20,0.9039682539682539,0.0,0.12698412698412698,0.25301204819277107
bottle,dinov2_s,4,rotate_5,recal_all,42,0.9039682539682539,0.0,0.19047619047619047,0.13253012048192772
bottle,dinov2_s,4,rotate_15,clean_calib,42,0.8515873015873016,1.0,0.0,0.0
bottle,dinov2_s,4,rotate_15,recal_20,20,0.8515873015873016,0.0,0.2222222222222222,0.13253012048192772
bottle,dinov2_s,4,rotate_15,recal_all,42,0.8515873015873016,0.0,0.2222222222222222,0.24096385542168675
bottle,dinov2_s,4,blur_1,clean_calib,42,1.0,0.4,0.0,0.07228915662650602
bottle,dinov2_s,4,blur_1,recal_20,20,1.0,0.1,0.0,0.07228915662650602
bottle,dinov2_s,4,blur_1,recal_all,42,1.0,0.0,0.0,0.08433734939759036
bottle,dinov2_s,4,blur_2,clean_calib,42,0.9968253968253968,1.0,0.0,0.0
bottle,dinov2_s,4,blur_2,recal_20,20,0.9968253968253968,0.05,0.0,0.08433734939759036
bottle,dinov2_s,4,blur_2,recal_all,42,0.9968253968253968,0.0,0.0,0.13253012048192772
