category,model,n_seeds,image_auroc_mean,image_auroc_std,false_alarm,miss_single,miss_three_way,unsure_rate
bottle,dinov2_s,5,1.0,0.0,0.08,0.0,0.0,0.021686746987951807
bottle,ensemble,5,1.0,0.0,0.05,0.0,0.0,0.06265060240963856
bottle,wrn50,5,1.0,0.0,0.030000000000000006,0.0,0.0,0.06024096385542168
metal_nut,dinov2_s,5,0.9944281524926687,0.0008178494883030906,0.1,0.025806451612903226,0.0,0.08
metal_nut,ensemble,5,0.9981427174975561,0.00021857946994133752,0.12727272727272726,0.0,0.0,0.059130434782608696
metal_nut,wrn50,5,0.9987292277614859,0.0006557384098239686,0.09090909090909091,0.002150537634408602,0.0,0.07652173913043478
screw,dinov2_s,5,0.8859192457470794,0.005805472577560154,0.03902439024390243,0.5092436974789916,0.0957983193277311,0.38375
screw,ensemble,5,0.9562615290018446,0.01056349772272766,0.04878048780487805,0.23697478991596638,0.023529411764705882,0.2575
screw,wrn50,5,0.949005943840951,0.014538010317891153,0.058536585365853655,0.22857142857142856,0.015126050420168069,0.24874999999999997
