category,backbone,n_fit_images,n_seeds,image_auroc_mean,image_auroc_std,pixel_auroc_mean,pixel_auroc_std,ms_per_image_batched,peak_gpu_mem_mb,memory_bank
bottle,dinov2_s,10,3,0.9970899470899471,0.0032075014954979545,0.9746256947718063,0.001644687919861406,2.8243602410002793,173.85107421875,256.0
bottle,dinov2_s,25,3,0.9984126984126984,0.002749286996141065,0.9746313687371458,0.00046453312483799004,2.821978714820147,176.26513671875,640.0
bottle,dinov2_s,50,3,1.0,0.0,0.9746054984015674,0.0011409864722894789,2.8510200803333627,209.10107421875,1280.0
bottle,dinov2_s,167,5,1.0,0.0,0.9756890096557507,0.000503916816554504,3.7154879518125363,391.35400390625,4275.0
bottle,wrn50,10,3,0.9973544973544973,0.002291072496784213,0.9832004968954308,0.00022645102988177128,4.18290240962683,318.08544921875,784.0
bottle,wrn50,25,3,1.0,0.0,0.9832739223651243,8.895609273337697e-05,4.584155823363563,399.0986328125,1960.0
bottle,wrn50,50,3,1.0,0.0,0.9832994740532652,0.00018493194415919413,5.365659839503587,618.5556640625,3920.0
bottle,wrn50,167,5,1.0,0.0,0.9834618118472903,4.080206739465649e-05,10.063982409732247,1819.44384765625,13092.0
metal_nut,dinov2_s,10,3,0.9701857282502444,0.012735888778881106,0.9689445947887664,0.0015292483228016686,2.793827536304994,173.85107421875,256.0
metal_nut,dinov2_s,25,3,0.979960899315738,0.00563663860932101,0.974845956277048,0.0004274756646002757,2.8182075362301604,176.26513671875,640.0
metal_nut,dinov2_s,50,3,0.9902248289345064,0.0009775171065493637,0.97758729528599,0.00033606373255396426,2.8526144927667887,209.10107421875,1280.0
metal_nut,dinov2_s,176,5,0.9944281524926687,0.0008178494883030906,0.9790709510892978,0.0002311815755459274,3.6370961738841445,412.35107421875,4505.0
metal_nut,wrn50,10,3,0.9688823721081784,0.01803998043173714,0.9774088905447708,0.0015963832415815022,4.074210144766687,318.08544921875,784.0
metal_nut,wrn50,25,3,0.9828934506353861,0.002586267166241044,0.9825239445644515,0.000642268306109925,4.4529953623946374,399.0986328125,1960.0
metal_nut,wrn50,50,3,0.9925057021831215,0.0029460966634123815,0.9841379596231459,0.0003077496761513709,5.3268834783196235,618.5556640625,3920.0
metal_nut,wrn50,176,5,0.9987292277614859,0.0006557384098239686,0.9853004908038301,7.909963900082656e-05,10.319584000086332,1951.87060546875,13798.0
screw,dinov2_s,10,3,0.6839516294322608,0.02738805999342501,0.8211211891594744,0.022344406904245738,2.7799352083093254,173.85107421875,256.0
screw,dinov2_s,25,3,0.7571223611395778,0.029548384982070252,0.8574464284506975,0.019793598561967805,2.819519583378375,176.26513671875,640.0
screw,dinov2_s,50,3,0.7983193277310924,0.025885892268704934,0.8830258642896262,0.006457137348636216,2.845091041732909,209.10107421875,1280.0
screw,dinov2_s,256,5,0.8859192457470794,0.005805472577560154,0.9238728039355399,0.005159060373434927,4.56061012488135,552.50732421875,6553.0
screw,wrn50,10,3,0.5816765730682517,0.014421673033205417,0.9284472550608439,0.004050347403627359,3.8532418749430994,318.08544921875,784.0
screw,wrn50,25,3,0.7088884334221494,0.03789618076697615,0.9546792440587225,0.007517556739759713,4.339084583413448,399.0986328125,1960.0
screw,wrn50,50,3,0.8026918084306894,0.011755013302727622,0.9703076606085372,0.005410591506001418,5.133458124995134,618.5556640625,3920.0
screw,wrn50,256,5,0.949005943840951,0.014538010317891153,0.9879350205097012,0.00045381340306239435,13.478362874957384,2756.81005859375,20070.0
screw_c25,wrn50,256,5,0.9443328550932568,0.008295945637752551,0.9870251890393508,0.0005784163100460748,30.001125750004576,2933.03955078125,50176.0
screw_s320,wrn50,256,5,0.9772084443533512,0.004814161704709213,0.9939602384462759,0.00027878124917900217,50.898763124987454,5497.76611328125,40960.0
screw_s448,dinov2_s,256,5,0.9783972125435539,0.002495972277658667,0.9845569051261294,0.0014489143165840601,25.508679499980644,1935.17919921875,26214.0
