category,backbone,seed,shift,image_auroc,false_alarm,miss_single,miss_three_way,unsure_rate
metal_nut,dinov2_s,0,clean,0.9931573802541545,0.18181818181818182,0.021505376344086023,0.0,0.05217391304347826
metal_nut,dinov2_s,0,darker_0.7,0.9936461388074291,0.18181818181818182,0.021505376344086023,0.0,0.043478260869565216
metal_nut,dinov2_s,0,brighter_1.3,0.9931573802541545,0.22727272727272727,0.021505376344086023,0.0,0.05217391304347826
metal_nut,dinov2_s,0,rotate_5,0.7800586510263929,1.0,0.0,0.0,0.0
metal_nut,dinov2_s,0,rotate_15,0.6358748778103617,1.0,0.0,0.0,0.0
metal_nut,dinov2_s,0,blur_1,0.9892473118279569,0.18181818181818182,0.021505376344086023,0.0,0.11304347826086956
metal_nut,dinov2_s,0,blur_2,0.9872922776148583,0.6818181818181818,0.0,0.0,0.06086956521739131
metal_nut,dinov2_s,1,clean,0.9946236559139785,0.0,0.043010752688172046,0.0,0.10434782608695652
metal_nut,dinov2_s,1,darker_0.7,0.9946236559139785,0.045454545454545456,0.043010752688172046,0.0,0.11304347826086956
metal_nut,dinov2_s,1,brighter_1.3,0.9941348973607038,0.0,0.053763440860215055,0.0,0.12173913043478261
metal_nut,dinov2_s,1,rotate_5,0.7913000977517107,1.0,0.0,0.0,0.0
metal_nut,dinov2_s,1,rotate_15,0.6529814271749755,1.0,0.0,0.0,0.0
metal_nut,dinov2_s,1,blur_1,0.9921798631476051,0.0,0.043010752688172046,0.0,0.1565217391304348
metal_nut,dinov2_s,1,blur_2,0.9887585532746823,0.18181818181818182,0.010752688172043012,0.0,0.16521739130434782
metal_nut,dinov2_s,2,clean,0.9951124144672532,0.09090909090909091,0.03225806451612903,0.0,0.11304347826086956
metal_nut,dinov2_s,2,darker_0.7,0.9956011730205279,0.09090909090909091,0.043010752688172046,0.0,0.12173913043478261
metal_nut,dinov2_s,2,brighter_1.3,0.9931573802541545,0.09090909090909091,0.021505376344086023,0.0,0.11304347826086956
metal_nut,dinov2_s,2,rotate_5,0.800097751710655,1.0,0.0,0.0,0.0
metal_nut,dinov2_s,2,rotate_15,0.6593352883675465,1.0,0.0,0.0,0.0
metal_nut,dinov2_s,2,blur_1,0.989247311827957,0.09090909090909091,0.043010752688172046,0.0,0.16521739130434782
metal_nut,dinov2_s,2,blur_2,0.9824046920821115,0.4090909090909091,0.0,0.0,0.11304347826086956
